                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3185,                0.84987,                 1.0148,                0.64525,                0.34965,                0.39199,                0.20516,                 1.3748,                0.87475,                 1.0211,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3283,                0.85099,                 1.0126,                0.66135,                0.35907,                0.40349,                0.21424,                 1.3692,                0.86716,                 1.0162,               0.008317,               0.008317,               0.008317
                     36,                 1.3214,                 0.8491,                 1.0108,                0.58945,                0.38625,                0.40755,                0.22027,                  1.372,                0.86145,                 1.0201,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3136,                0.84419,                 1.0082,                0.61287,                0.38262,                0.40158,                 0.2128,                 1.3773,                0.85775,                 1.0183,               0.008218,               0.008218,               0.008218
                     38,                 1.3136,                0.83987,                 1.0092,                0.64855,                0.34784,                0.39584,                0.21426,                 1.3773,                0.86434,                 1.0219,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3122,                0.83658,                 1.0112,                0.60339,                0.38015,                0.40258,                0.21255,                 1.3639,                0.86382,                 1.0134,               0.008119,               0.008119,               0.008119
                     40,                 1.3097,                0.83288,                 1.0082,                0.60779,                0.36424,                 0.3923,                0.21104,                 1.3579,                0.86002,                 1.0169,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3078,                0.83783,                 1.0119,                 0.6453,                0.35947,                0.40498,                0.21719,                 1.3666,                0.85382,                 1.0149,                0.00802,                0.00802,                0.00802
                     42,                 1.3003,                0.83099,                 1.0031,                0.64228,                0.35833,                0.40058,                0.21371,                  1.367,                0.86114,                 1.0176,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3057,                0.82724,                 1.0069,                0.62033,                0.38655,                0.40721,                 0.2174,                 1.3726,                0.85155,                 1.0185,               0.007921,               0.007921,               0.007921
                     44,                 1.2967,                0.82176,                 1.0004,                0.65627,                0.34431,                0.39454,                0.21371,                  1.366,                0.85529,                 1.0175,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3031,                0.82545,                 1.0028,                0.63321,                0.38218,                0.40929,                0.21769,                 1.3615,                0.85235,                   1.01,               0.007822,               0.007822,               0.007822
                     46,                 1.3013,                0.82242,                 1.0044,                0.65731,                0.37499,                 0.4162,                0.21728,                  1.362,                0.85148,                 1.0142,              0.0077725,              0.0077725,              0.0077725
                     47,                    1.3,                0.81801,                  1.003,                0.66669,                 0.3722,                0.41066,                0.21895,                  1.358,                0.85233,                 1.0126,               0.007723,               0.007723,               0.007723
                     48,                 1.2955,                0.81604,                 1.0015,                0.64587,                 0.3769,                0.41587,                 0.2202,                 1.3592,                0.84772,                 1.0097,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2981,                0.81722,                 1.0003,                0.61803,                0.40301,                0.42056,                0.22632,                 1.3538,                0.84121,                 1.0123,               0.007624,               0.007624,               0.007624
                     50,                 1.2995,                0.81472,                 1.0016,                0.64759,                0.37395,                0.41781,                 0.2284,                 1.3582,                0.84153,                 1.0125,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2922,                0.80896,                 1.0025,                0.59429,                0.40128,                0.41452,                0.22253,                 1.3535,                0.84107,                 1.0097,               0.007525,               0.007525,               0.007525
                     52,                 1.2871,                0.80633,                0.99876,                0.62612,                0.39909,                0.41844,                0.22389,                 1.3502,                0.83751,                 1.0088,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2847,                0.80342,                 1.0001,                0.66281,                0.37238,                0.42103,                0.22639,                 1.3501,                0.83926,                 1.0057,               0.007426,               0.007426,               0.007426
                     54,                 1.2851,                 0.8031,                0.99858,                0.60039,                0.39866,                0.42251,                0.22933,                 1.3544,                0.83144,                 1.0076,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2811,                0.79454,                0.99378,                0.63699,                0.39234,                0.41765,                0.22604,                 1.3342,                0.83139,                 1.0048,               0.007327,               0.007327,               0.007327
                     56,                 1.2813,                0.79786,                0.99835,                0.66383,                0.38038,                0.41903,                 0.2245,                 1.3474,                0.84169,                 1.0053,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2775,                0.79365,                0.99536,                0.60863,                0.39559,                0.41792,                0.22654,                 1.3484,                0.83584,                 1.0052,               0.007228,               0.007228,               0.007228
                     58,                 1.2853,                0.79593,                0.99351,                0.63444,                0.39653,                0.42901,                0.23432,                 1.3454,                0.83252,                 1.0096,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.273,                 0.7881,                0.99321,                0.64644,                0.38832,                0.41608,                 0.2295,                 1.3478,                0.83422,                 1.0084,               0.007129,               0.007129,               0.007129
                     60,                 1.2725,                0.78519,                0.99418,                0.57711,                0.37556,                0.42168,                0.23179,                  1.347,                0.83652,                 1.0085,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2678,                0.78265,                0.99272,                0.64624,                0.39985,                0.43148,                0.23254,                 1.3478,                0.82879,                  1.006,                0.00703,                0.00703,                0.00703
                     62,                 1.2724,                0.78134,                0.99151,                0.64185,                0.38818,                0.41821,                0.22887,                 1.3475,                 0.8266,                 1.0054,              0.0069805,              0.0069805,              0.0069805
