                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2347,                0.73087,                0.98607,                0.64146,                0.40899,                0.43261,                0.23122,                 1.3259,                0.79841,                 1.0089,                0.07013,              0.0033188,              0.0033188
                      1,                 1.2211,                0.71605,                0.97992,                0.60629,                0.40576,                0.42404,                0.23112,                 1.3285,                0.80657,                 1.0117,               0.040085,              0.0066064,              0.0066064
                      2,                 1.2288,                0.72552,                0.98448,                0.61002,                0.39937,                0.42066,                0.22479,                 1.3647,                0.84804,                 1.0263,              0.0099931,              0.0098482,              0.0098482
                      3,                 1.2443,                0.75669,                0.98933,                0.59424,                0.38479,                0.39365,                0.20868,                  1.375,                0.84883,                 1.0328,              0.0097938,              0.0097938,              0.0097938
                      4,                 1.2517,                0.76335,                 0.9926,                0.59137,                 0.3991,                  0.404,                0.21862,                 1.3714,                0.84565,                 1.0301,              0.0097938,              0.0097938,              0.0097938
                      5,                 1.2499,                0.75872,                0.99072,                0.65351,                0.39321,                0.42448,                0.22612,                 1.3728,                0.84481,                 1.0298,               0.009725,               0.009725,               0.009725
                      6,                 1.2497,                0.75813,                0.99103,                0.62426,                0.38562,                0.40428,                0.21704,                  1.374,                 0.8447,                  1.027,              0.0096563,              0.0096563,              0.0096563
                      7,                  1.245,                0.75068,                0.98856,                0.61396,                 0.3589,                  0.389,                0.20734,                  1.364,                0.84854,                 1.0271,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.2537,                0.75611,                0.98975,                0.65167,                0.36115,                0.40564,                 0.2183,                 1.3516,                0.84581,                 1.0224,              0.0095187,              0.0095187,              0.0095187
                      9,                 1.2494,                0.75959,                0.99034,                0.63091,                0.36569,                0.39348,                0.20943,                 1.3686,                0.85323,                 1.0304,                0.00945,                0.00945,                0.00945
                     10,                 1.2527,                0.76199,                0.99592,                0.61566,                0.40089,                0.41193,                0.22312,                 1.3565,                0.84232,                 1.0243,              0.0093813,              0.0093813,              0.0093813
                     11,                 1.2375,                0.74916,                0.98805,                0.66853,                0.38931,                 0.4267,                0.22304,                 1.3765,                0.84003,                 1.0303,              0.0093125,              0.0093125,              0.0093125
                     12,                 1.2419,                0.74656,                0.98828,                 0.6269,                0.37977,                0.40842,                0.22116,                 1.3571,                0.84293,                 1.0234,              0.0092438,              0.0092438,              0.0092438
                     13,                 1.2384,                0.74527,                0.98467,                0.60772,                0.40262,                0.41134,                0.22033,                 1.3601,                0.83828,                  1.022,               0.009175,               0.009175,               0.009175
                     14,                 1.2409,                0.74773,                0.98744,                0.63668,                0.40601,                0.42308,                0.22638,                 1.3653,                0.83964,                 1.0207,              0.0091062,              0.0091062,              0.0091062
                     15,                 1.2374,                0.74236,                0.98441,                0.64948,                0.38521,                0.41665,                0.22448,                 1.3512,                0.83523,                 1.0197,              0.0090375,              0.0090375,              0.0090375
                     16,                 1.2351,                0.74443,                0.98605,                0.66396,                0.37355,                0.40992,                0.21875,                 1.3575,                0.84165,                 1.0271,              0.0089688,              0.0089688,              0.0089688
                     17,                 1.2321,                0.74441,                0.98648,                0.61865,                0.39366,                0.41304,                0.22198,                 1.3621,                0.83996,                 1.0236,                 0.0089,                 0.0089,                 0.0089
                     18,                 1.2266,                 0.7352,                0.98469,                0.65682,                 0.3744,                0.41242,                0.21698,                 1.3767,                0.84157,                 1.0292,              0.0088312,              0.0088312,              0.0088312
                     19,                 1.2261,                0.73062,                 0.9784,                0.56645,                0.39397,                0.42292,                0.22637,                 1.3716,                0.83664,                 1.0266,              0.0087625,              0.0087625,              0.0087625
                     20,                 1.2275,                0.73432,                0.98261,                0.62996,                0.38723,                0.41671,                0.22074,                 1.3566,                0.83364,                 1.0228,              0.0086938,              0.0086938,              0.0086938
                     21,                 1.2241,                0.73022,                0.97968,                 0.5969,                0.38765,                0.39904,                0.21051,                 1.3552,                0.83669,                 1.0206,               0.008625,               0.008625,               0.008625
                     22,                 1.2253,                0.72749,                0.97962,                0.65552,                0.38674,                0.41197,                0.21714,                 1.3665,                0.84497,                  1.029,              0.0085562,              0.0085562,              0.0085562
                     23,                 1.2181,                0.72381,                0.98176,                0.65963,                0.37767,                0.41479,                0.21739,                 1.3611,                0.83162,                  1.019,              0.0084875,              0.0084875,              0.0084875
                     24,                 1.2171,                0.72257,                0.97591,                0.64017,                0.39269,                0.41746,                0.22035,                 1.3505,                  0.824,                 1.0198,              0.0084188,              0.0084188,              0.0084188
                     25,                 1.2096,                0.71789,                0.97496,                 0.6511,                0.37054,                0.41226,                0.21738,                 1.3542,                0.83292,                 1.0254,                0.00835,                0.00835,                0.00835
                     26,                 1.2058,                0.71561,                0.97446,                0.55996,                0.38135,                0.41953,                0.22724,                 1.3524,                 0.8332,                  1.023,              0.0082813,              0.0082813,              0.0082813
                     27,                 1.2093,                 0.7144,                0.97553,                0.66145,                0.39008,                0.41847,                0.22849,                 1.3498,                0.82331,                 1.0233,              0.0082125,              0.0082125,              0.0082125
